,name,url
0,/jobs/2580-programador-a-remoto,
1,/jobs/2582-programador-a-php-codeigniter,
2,/jobs/2552-react-developer-senior-remoto-react-redux-testes-unitarios-html-e-css,"React developer sĂŞnior remoto (react, redux, testes unitĂĄrios, HTML e CSS)"
3,/jobs/2547-desenvolvimento-python-web-scrapping-selenium-mysql-remoto,Desenvolvimento Python/Web Scrapping/Selenium/MySQL remoto
4,/jobs/2523-estagio-programador-servidor-ragnarok-online,Estagio - Programador Servidor Ragnarok Online
5,/jobs/2519-programador-a-java,Programador(a) Java
6,/jobs/2517-programador-a-front-end,Programador(a) Front-end
7,/jobs/2349-desenvolvedor-mobile,Desenvolvedor Mobile
8,/jobs/2415-programador-mobile-react-native-remoto,Programador Mobile React Native - REMOTO
9,/jobs/2347-analista-programador-fullstack-javascript,Analista programador Fullstack Javascript
